latitude,longitude,name
40.6334963,22.9565377,"Σχολή Θετικών Επιστημών ΣΘΕ, Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης ΑΠΘ"
40.6321991,22.9517345,Αψίδα του Γαλερίου (Καμάρα)
40.6333007,22.9528538,Ροτόντα
40.6361496,22.9444293,Άγαλμα Ελευθερίου Βενιζέλου
40.6323456,22.9408366,Πλατεία Αριστοτέλους
40.627913,22.9547428,Διεθνής Έκθεση Θεσσαλονίκης
40.625237,22.953817,Αρχαιολογικό Μουσείο Θεσσαλονίκης
40.6250129,22.9601085,Πανεπιστήμιο Μακεδονίας
40.6284144,22.9587877,Πολυτεχνική Σχολή Α.Π.Θ.
40.62116,22.957009,Γαλλικό Ινστιτούτο Θεσσαλονίκης
40.6274199,22.964159,Ολυμπιακό Μουσείο Θεσσαλονίκης
40.5982566,22.9485076,Μέγαρο Μουσικής Θεσσαλονίκης
40.6005446,22.9641646,Σείριος
40.6020295,22.9793252,Ο Αγκαλίτσας
40.6016147,22.9837131,Lidl
40.5921565,22.9706137,Ιερός Ναός Αγίου Βασιλείου
40.5936646,22.9580868,"Ναός Αγίου Ελευθερίου, Ντεπώ Θεσσαλονίκης"
40.599035,22.9544415,Βίλλα Μορντώχ
40.6546306,22.9023785,ΚΤΕΛ Θεσσαλονίκης
40.6510293,22.9150636,Lidl
40.646328,22.92051,One Salonica Outlet Mall
40.6405875,22.9188535,JUMBO
40.6432511,22.9101574,Porto Palace Hotel
40.6130001,22.9649733,Yava Fitness Center
40.6116363,22.9617339,Ιπποκράτειο - Γενικό Νοσοκομείο Θεσσαλονίκης
40.6101573,22.9533597,Goethe-Institut Thessaloniki
40.6101703,22.9521521,Λαογραφικό κι Εθνολογικό Μουσείο Μακεδονίας - Θράκης
40.5669394,22.970296,Αγρόκτημα Γεωπονοδασολογικης Σχολής
40.6408513,22.9493754,Lidl
40.6359484,22.9686324,Ζωολογικός Κήπος
40.6406435,22.9601197,Πύργος Τριγωνίου (Αλύσεως)
40.6427193,22.9349594,Anatolia Hotel
40.6454696,22.925148,Ροτόντα
40.64441,22.92978,Thessaloniki
40.6430016,22.9476693,Ουζερί Τσινάρι
40.6288722,22.9484559,Ελενίδης
40.6307504,22.9437346,Μουσείο Μακεδονικού Αγώνα
40.6264463,22.9484257,Λευκός Πύργος της Θεσσαλονίκης
40.6164258,22.9552726,Θέατρο Ράδιο Σίτυ
40.613758,22.9536316,Σχολή Τυφλών
40.615031,22.9769558,Γυράδικο
40.6107796,22.9878143,Kingston
40.616609,22.9713522,ΕΦΚΑ Τούμπας
40.6183823,22.9748803,Ιερός Ναός Αγίας Μαρίνας
40.6092975,22.9707049,Γιώτης
40.613858,22.9722408,Στάδιο ΠΑΟΚ
40.5784327,22.9759589,Εμπορικό Κέντρο Μακεδονία
40.5800295,22.9675868,Πλαίσιο
40.5656076,22.9812788,PAOK Sports Arena
40.5505651,22.9848683,ΙΚΕΑ Θεσσαλονίκη
40.566927,23.0019161,Τμήμα Επιστήμης Φυσικής Αγωγής και Αθλητισμού Α.Π.Θ.
40.5646372,23.00138,Σχολή Καλών Τεχνών ΑΠΘ - Τμήμα Μουσικών Σπουδών
40.5751448,22.9840086,ΚΤΕΛ Χαλκιδικής Σταθμός Θεσσαλονίκης
40.5689384,22.9828391,JUMBO
40.5671287,22.9823728,ΠΛΑΝΗΤΑΡΙΟ Θεσσαλονίκης | Αστρονομικός Εξοπλισμός‎
40.574591,22.9677658,Vita4you
40.5735333,22.9618023,Lidl
40.6255005,22.9669699,Εθνικό Καυτανζόγλειο Στάδιο
40.6222699,22.9696118,ALPHA BANK
40.6209606,22.9746605,Γήπεδο Τριανδρίας
40.6151333,22.9656287,Γενική Ταχυδρομική Κάτω Τούμπας
40.6152585,22.9597013,Εθνική Τράπεζα της Ελλάδος
40.6489723,22.927284,Yava Fitness Center
40.6478703,22.9280333,ΤΑ ΜΠΑΜΠΑΤΣΙΚΑ
40.6504251,22.9347143,Ιερός Ναός Αγίας Παρασκευής
40.6509106,22.939118,Εθνική Τράπεζα της Ελλάδος
40.646082,22.944763,Βυζαντινός Αθλητικός Όμιλος
40.6470497,22.9379955,Μπουγάτσα Μπαντής (Bougatsa Bantis)
40.6460049,22.9295813,Παλαιοχριστιανική Βασιλική Ξηροκρήνης
40.6427524,22.9374837,Ιερός Ναός Αγίων Αποστόλων (14ος αι.)
40.6402631,22.931858,ΕΟΠΥΥ - ΠΕΡΙΦΕΡΕΙΑΚΗ ΔΙΕΥΘΥΝΣΗ (ΠεΔι) Θεσσαλονίκης
40.6394659,22.9325035,Δικαστικό Μέγαρο
40.6359367,22.9355221,Mediterranean Palace Hotel
40.6363644,22.9381177,ΥΨΙΛΟΝ
40.6322059,22.947271,Estrella
40.6303532,22.9489797,Ανάκτορο Γαλερίου
40.6293647,22.9451035,Koi Sushi Bar
40.6349425,22.9479617,Ιερός Ναός Παναγίας Αχειροποιήτου
40.6305734,22.9531688,Abc Hotel Thessaloniki
40.6297279,22.9522135,Γιόκ Μπαλίκ
40.624308,22.9595298,Πολεμικό Μουσείο Παράρτημα Θεσσαλονίκης
40.6187911,22.958424,ΔΟΥ ΣΤ' Θεσσαλονίκης
40.6571445,22.9243379,Σβούρα
40.6545894,22.9190132,Masoutis
40.6536143,22.9231863,Αστυνομικό Τμήμα Αμπελοκήπων
40.6502663,22.925392,ΕΛΤΑ
40.6042696,22.9727873,Απειρωτάν
40.6081753,22.9653401,Πρασσάς ψητοπωλείο
40.60879,22.9793138,Γοριλάκια
40.6080598,22.9893778,Lidl
40.6072444,22.995176,Pin City
40.602698,22.9771174,ΔΟΥ Ζ' Θεσσαλονίκης
40.6224745,22.9613376,Η Φωλιά Του Κόκκορα
40.6169013,22.9605659,Ευκλείδης
40.6177059,22.9694345,Speedex
40.6192315,22.9656755,Ουράνιο Τόξο Live
40.654182,22.9456785,Ανοικτό Δημοτικό Θέατρο Νεάπολης (Στρεμπενιώτη)
40.6501585,22.958412,Calderon
40.6441685,22.9619222,Επταπύργιο Θεσσαλονίκης
40.6579423,22.9572453,Πλατεία Μετεώρων
40.6546569,22.9485793,Ιερά Μητρόπολη Νεαπόλεως και Σταυρουπόλεως
40.6614225,22.9496779,Ιερός Ναός Αγίου Παντελεήμονος
40.6575474,22.942852,ΙΕΚ Νεάπολης
40.6649528,22.9512602,"Το Πέτρινο, Πολίχνη"
40.5522149,23.0178159,ACS courier Θέρμης
40.559475,23.008169,Καρέτσος Ελαστικά
40.5488,23.002337,Garden Center Βασιλειάδη
40.549374,22.989833,Hotel Nikopolis Thessaloniki
40.582947,23.001589,Μοντεσσοριανή Αγωγή - Montessori School
40.5813357,22.9925586,ΜΑΡΚΟΥΔΗΣ Ε.Π.Ε.
40.5859087,22.9919262,Φανοβαφείο Μοσχοβης Νίκος
40.5847015,22.9872581,Sector Security
40.5859873,22.9821324,ΑΦΟΙ ΤΣΙΡΩΝΑ
40.6086083,22.9574317,The Coffee Story
40.6101932,22.9575338,Panda Cafe-Bar
40.6114547,22.9557192,Θέατρο T
40.615563,22.9567056,Γενί Τζαμί
40.6135072,22.9548858,"ACS COURIER ΑΝΑΛΗΨΗ (Thessaloniki, Moneygram)"
40.6119015,22.9850458,inSpot Τούμπας
40.6056408,22.9790063,Top Fitness
40.607712,22.9841273,Ψητοπωλείο Ο Κώστας
40.602695,22.990432,Ι ΜΠΟΥΤΖΟΥΡΟΓΛΟΥ Η ΠΟΝΤΙΚΑΣ ΟΕ
40.600233,22.996593,Fleur
40.5947226,22.9858286,Σούπερ Μάρκετ ΑΦΡΟΔΙΤΗ
40.5994839,22.9876325,Αστυνομικό Τμήμα Πυλαίας
40.5975503,22.9814907,Το στέκι του Μπακάλη
40.597331,22.9763299,Ιερός Ναός Αγίας Κυριακής
40.6213847,22.952891,Οψοποιών Μαγγανείαι
40.6239004,22.9550583,Μουσείο Βυζαντινού Πολιτισμού
40.6314097,22.9620116,Εθνικό Κολυμβητήριο
40.6219246,22.9677046,Plaisir
40.6216049,22.9621274,X-Treme Stores
40.6152473,22.9621141,Voi & Noi
40.6087823,22.968253,Alpha Bank
40.6057875,22.9643286,E-shop Point
40.6622081,22.935163,Δημαρχείο Σταυρούπολης
40.6750596,22.9380872,Media Markt
40.6668403,22.9184128,Lidl
40.6622885,22.9290401,Lidl
40.6568924,22.9128114,Ιερός Ναός Αγίας Παρασκευής
40.6548284,22.9069972,JYSK
40.667211,22.898343,Haritidis Jewelry - Χαριτίδης Κοσμηματοπωλείο
40.6728085,22.9081602,Αστυνομικό Τμήμα Κορδελιού - Ευόσμου
40.6782353,22.9242265,E-shop point Θεσσαλονίκη - Σταυρούπολη
40.6746008,22.9325456,Ιερός Ναός Αγίου Λουκά
40.676797,22.955106,Αθλητικός Όμιλος Λέοντες
40.5866204,22.9702684,Ιερός Ναός Αγίας Αναστασίας Φαρμακολυτρίας
40.5892601,22.9547383,Χρώμα Bar
40.5876972,22.9611563,ΑΒ Βασιλόπουλος
40.5826975,22.9562938,Έπεα Πτερόεντα
40.5814021,22.9515516,Τρεις κι εξήντα
40.5849007,22.9634397,ACS Courier
40.5975471,23.0003981,Αμερικανικό Κολλέγιο Ανατόλια
40.5862312,22.9466357,Ten Pin Bowling - Πολυχώρος Διασκέδασης
40.5812798,22.9449771,Στάδιο Μ.Γ.Σ.Κ. Απόλλωνα
40.5762038,22.9511557,Ιερός Καθεδρικός Ναός Αγίου Νικολάου
40.5852434,23.0222439,Πάρκο κυκλοφοριακής αγωγής
